site_id,site_name,country,data_hub,network,source_network,processing_lineage,vegetation_type,first_year,last_year,latitude,longitude,download_link,download_mode,source,source_label,source_reason,source_priority,source_origin,flux_list,access_label,data_use_label,request_page_url,site_page_url,sites_list_url,guidelines_url,data_policy_url,known_data_record,efd_access_summary,efd_policy_year_count,efd_policy_first_year,efd_policy_last_year,efd_provenance,last_updated
BE-Lcr,Lochristi,BE,EFD,ICOS,ICOS,,DBF,,,51.11218,3.85043,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,BVOCs; CH4-E; CH4-C; CO2-E; CO2-C; H-E; H-C; LE-E; LE-C; N2O-E; N2O-C,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Lcr,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,4,2019,2022,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Lon,Lonzee,BE,EFD,CarboEuropeIP; ICOS,CarboEuropeIP; ICOS,,CRO,,,50.5516198,4.7462339,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,BVOCs-E; CO2-E; H-E; H2O-E; LE-E; N2O-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Lon,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,22,2004,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Maa,Maasmechelen,BE,EFD,ICOS,ICOS,,CSH,,,50.979868,5.631851,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Maa,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,7,2016,2022,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Vie,Vielsalm,BE,EFD,CarboEuropeIP; CarboEuroFlux; EuroFlux; IMECC; ICOS,CarboEuropeIP; CarboEuroFlux; EuroFlux; IMECC; ICOS,,MF,,,50.304962,5.998099,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,BVOCs-E; CO2-E; H-E; H2O-E; LE-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Vie,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,25,1996,2020,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BF-Bon,Bontioli,BF,EFD,CarboAfrica,CarboAfrica,,SAV,,,10.865556,-3.072778,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BF-Bon,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,3,2004,2006,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BW-Ghz,Ghanzi/Okwa River Crossing,BW,EFD,CarboAfrica,CarboAfrica,,OSH,,,-22.40916667,21.71305556,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BW-Ghz,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,2,2000,2010,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BW-Gum,Guma,BW,EFD,,,,WET,,,-18.96472222,22.37111111,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; H2O-E; LE-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BW-Gum,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,3,2018,2020,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BW-Ma1,Maun,BW,EFD,CarboAfrica,CarboAfrica,,SAV,,,-19.9165,23.56033333,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BW-Ma1,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,3,1999,2001,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BW-Mkt,Maun - Kalahari Transect,BW,EFD,CarboAfrica,CarboAfrica,,SAV,,,-19.923,23.594,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BW-Mkt,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,2,2000,2010,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BW-Nxr,Nxaraga,BW,EFD,,,,GRA,,,-19.54805556,23.17916667,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CH4-C; CO2-E; CO2-C; H-E; H2O-E; LE-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BW-Nxr,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,1,2018,2018,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CD-Ygb,Yangambi,CD,EFD,,,,EBF,,,0.814444,24.502472,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E; N2O-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CD-Ygb,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,6,2020,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CG-Hin,Hinda,CG,EFD,CarboAfrica,CarboAfrica,,EBF,,,-4.68111111,12.0036111,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CG-Hin,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,2,2001,2002,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CG-Kis,Kissoko,CG,EFD,CarboAfrica,CarboAfrica,,EBF,,,-4.791388889,11.98222222,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CG-Kis,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,2,2005,2006,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CG-Tch,Tchizalamou,CG,EFD,CarboAfrica,CarboAfrica,,SAV,,,-4.289166667,11.65641667,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CG-Tch,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,4,2006,2009,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Aws,Alp Weissenstein,CH,EFD,GHG-Europe; CarboExtreme; Swiss FluxNet,GHG-Europe; CarboExtreme; Swiss FluxNet,,GRA,,,46.583102,9.790624,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; LE-E,Private; Public,Close; Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Aws,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,20,2006,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-BaA,Basel Aeschenplatz,CH,EFD,,,,URB,,,47.55123,7.5956,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; LE-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-BaA,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,11,2016,2026,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-BaK,Basel Klingelbergstrasse,CH,EFD,,,,URB,,,47.56173,7.58049,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; LE-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-BaK,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,10,2016,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Cha,Chamau,CH,EFD,GHG-Europe; CarboExtreme; Swiss FluxNet,GHG-Europe; CarboExtreme; Swiss FluxNet,,GRA,,,47.21022222,8.410444444,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E; N2O-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Cha,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,21,2005,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Crs,Cressier,CH,EFD,,,,GRA,,,47.0436,7.0475,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Crs,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,2,2015,2016,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Dav,Davos,CH,EFD,GHG-Europe; ICOS; Swiss FluxNet,GHG-Europe; ICOS; Swiss FluxNet,,ENF,,,46.81533,9.85591,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E; N2O-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Dav,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,28,1997,2024,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-For,Forel,CH,EFD,,,,CRO,,,46.527194,6.759528,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E; N2O-E; N2O-C,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-For,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,2,2024,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Frk,Furka,CH,EFD,,,,GRA,,,46.577752,8.421466,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; H2O-E; LE-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Frk,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,3,2013,2015,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Fru,Früebüel,CH,EFD,GHG-Europe; CarboExtreme; Swiss FluxNet,GHG-Europe; CarboExtreme; Swiss FluxNet,,GRA,,,47.11583333,8.537777778,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-C; CO2-E; CO2-C; H-E; LE-E; N2O-C,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Fru,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,21,2005,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
CH-Lae,Laegern,CH,EFD,CarboEuropeIP; GHG-Europe; Swiss FluxNet,CarboEuropeIP; GHG-Europe; Swiss FluxNet,,MF,,,47.478333,8.364389,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; CO2-C; H-E; LE-E,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=CH-Lae,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,29,1997,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
